date_of_sale,address,postal_code,county,price,description
01/12/2020,"22 THE CRESCENT, ST MARNOCKS BAY, PORTMARNOCK",,Dublin,"€546,256.00",New Dwelling house /Apartment
01/12/2020,"23 MCCABE VILLAS, BOOTERSTOWN, CO DUBLIN",,Dublin,"€405,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"23 STANDHOUSE RISE, NEWBRIDGE, KILDARE",,Kildare,"€245,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"24 OLDTOWN GREEN, NAAS, KILDARE",,Kildare,"€310,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"24 The Oaks, Ballinahinch Wood, Ashford",,Wicklow,"€339,207.05",New Dwelling house /Apartment
01/12/2020,"24 WINGFIELD ORCHARD, NEWCASTLE WEST, LIMERICK",,Limerick,"€180,500.00",Second-Hand Dwelling house /Apartment
01/12/2020,"25 KILLAKEE LAWNS, FIRHOUSE, DUBLIN 24",Dublin 24,Dublin,"€308,249.00",Second-Hand Dwelling house /Apartment
01/12/2020,"2547 WOODSIDE PARK, MARYVILLE, KILDARE",,Kildare,"€180,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"27 Lower Hatch Street, Dublin 2",Dublin 2,Dublin,"€1,358,333.00",New Dwelling house /Apartment
01/12/2020,"27 PATRICK ST, PORTARLINGTON, OFFALY",,Offaly,"€150,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"27 SANDYMOUNT, LUDDEN, BUNCRANA",,Donegal,"€70,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"29 AN MAOILEAN, Barna",,Galway,"€440,527.00",New Dwelling house /Apartment
01/12/2020,"29 RIVER VIEW, MILL RD, SLANE",,Meath,"€188,475.00",Second-Hand Dwelling house /Apartment
01/12/2020,"29 The Campion, Marina Village, Greystones",,Wicklow,"€317,180.00",New Dwelling house /Apartment
01/12/2020,"3 ATHLUMNEY CLOSE, KENTSTOWN ROAD, NAVAN",,Meath,"€296,900.00",New Dwelling house /Apartment
01/12/2020,"3 BOTHAR BUILDING, BALLYCONNELL, CAVAN",,Cavan,"€110,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"3 Cois Na gCoillte, Carrickmacross",,Monaghan,"€196,916.29",New Dwelling house /Apartment
01/12/2020,"3 FINDLATER ST, INFIRMARY RD, DUBLIN 7",Dublin 7,Dublin,"€212,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"3 Gairdin Beag, Main Street, Rathwire",,Westmeath,"€185,022.00",New Dwelling house /Apartment
01/12/2020,"3 O'CONNELL STREET, DUBLIN 1",,Dublin,"€190,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"3 THE WALK, CARRICKMINES MANOR, GLENAMUCK RD DUBLIN 18",Dublin 18,Dublin,"€310,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"30 The Oaks, Ballinahinch Wood, Ashford",,Wicklow,"€339,200.00",New Dwelling house /Apartment
01/12/2020,"31 ANLEY COURT, ESKER LANE, LUCAN",,Dublin,"€195,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"31 B OLD GOLF COURSE RD, DONEGAL TOWN",,Donegal,"€145,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"32 WESTEND GATE, TALLAGHT, DUBLIN 24",,Dublin,"€250,500.00",Second-Hand Dwelling house /Apartment
01/12/2020,"33 THE GLEBE, CHURCH AVE, STRADBALLY",,Laois,"€195,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"35 ARDMORE PARK, KILL AVENUE, DUN LAOGHAIRE",,Dublin,"€525,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"35 RIVERMILL VIEW, NAVAN, MEATH",,Meath,"€135,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"35 ROCKFIELD HEIGHTS, ROCKS ROAD, KINGSCOURT",,Cavan,"€163,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"36 THE RECTORY, FAHAN, DONEGAL",,Donegal,"€180,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"37 THE GRANGE, DONORE, MEATH",,Meath,"€248,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"38 BROADMEADOW CASTLE, ASHBOURNE, MEATH",,Meath,"€288,600.00",Second-Hand Dwelling house /Apartment
01/12/2020,"38 GLENCAIRN LAWN, THE GALLOPS, LEOPARDSTOWN DUBLIN 18",Dublin 18,Dublin,"€550,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"4 ALEXANDAR TERRACE, CASTLEFORBES RD, DUBLIN 1",Dublin 1,Dublin,"€500,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"4 ARDENZA TERRACE, SEAPOINT AVENUE, BLACKROCK",,Dublin,"€2,600,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"4 AUBREY PARK, SHANKILL, DUBLIN 18",Dublin 18,Dublin,"€620,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"4 CASTLEFORBES RD, NORTH WALL, DUBLIN 1",Dublin 1,Dublin,"€1,500,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"4 CITYWEST VILLAGE GREEN WEST, CITYWEST VILLAGE, CITYWEST",,Dublin,"€368,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"4 DISTILLERY COURT, WESTPORT, MAYO",,Mayo,"€250,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"4 Gairdin Beag, Main Street, Rathwire",,Westmeath,"€185,022.00",New Dwelling house /Apartment
01/12/2020,"4 LAKESIDE DOWNS, BLESSINGTON, WICKLOW",,Wicklow,"€411,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"4 WALSHESTOWN ABBEY, NEWBRIDGE, KILDARE",,Kildare,"€655,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"40 GREENFIELDS, LANESBORO RD, ROSCOMMON",,Roscommon,"€110,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"40 TUBBERJARLATH RD, TUAM, GALWAY",,Galway,"€55,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"42 ALPINE RISE, BELGARD, TALLAGHT DUBLIN 24",Dublin 24,Dublin,"€122,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"42 HAYFIELD, STRAFFAN ROAD, MAYNOOTH",,Kildare,"€377,500.00",Second-Hand Dwelling house /Apartment
01/12/2020,"43 RATH BAWN, KILGARVE, BALLINASLOE",,Galway,"€190,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"44 MONASTERY TERRACE, MONASTERY HILL, BLARNEY ST",,Cork,"€256,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"47 THE DRIVE, BARNHALL MEADOWS, LEIXLIP",,Kildare,"€387,665.20",New Dwelling house /Apartment
01/12/2020,"48 CROSS GUNS QUAY, PHISBORO, DUBLIN 7",Dublin 15,Dublin,"€193,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"48 The Drive, Barnhall Meadows, Leixlip",,Kildare,"€405,286.34",New Dwelling house /Apartment
01/12/2020,"48 The Heights, Barnhill Meadows, Leixlip",,Kildare,"€339,207.04",New Dwelling house /Apartment
01/12/2020,"5 ALEXANDRA TERRACE, DUBLIN 1",Dublin 1,Dublin,"€565,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"5 Gairdin Beag, Main Street, Rathwire",,Westmeath,"€185,022.00",New Dwelling house /Apartment
01/12/2020,"5 LIOS CARRIG, BALLYARTHUR, FERMOY",,Cork,"€620,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"5 NEW RD, BALTIMORE, CORK",,Cork,"€650,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"5 THE NEW LINE, ABBEYSIDE, DUNGARVAN",,Waterford,"€350,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"51 GROSVENOR COURT, OFF MOUNT VERNON AVE, CLONTARF DUBLIN 3",Dublin 3,Dublin,"€577,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"52 CASTLEGATE, LORD EDWARD ST, DUBLIN 2",Dublin 2,Dublin,"€367,500.00",Second-Hand Dwelling house /Apartment
01/12/2020,"52 PALMERS CRESCENT, PALMERSTOWN MANOR, KENNELSFORT RD DUBLIN 20",Dublin 20,Dublin,"€320,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"52 The Drive, Barnhall Meadows",,Kildare,"€405,300.00",New Dwelling house /Apartment
01/12/2020,"56 DUNARD ROAD, NAVAN ROAD, DUBLIN 7",Dublin 7,Dublin,"€305,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"57 PARK GRANGE, GRANGE RATH, DUBLIN RD DROGHEDA",,Meath,"€175,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"57 The Heights, Barnhall Meadows, Leixlip",,Kildare,"€343,612.33",New Dwelling house /Apartment
01/12/2020,"58 SANDYCOVE PHASE 1, BALLYMONEY, GOREY",,Wexford,"€207,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"59 DOLLYMOUNT PARK, CLONTARF, DUBLIN 3",,Dublin,"€565,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"59 PARK VIEW, RATHBORNE, ASHTOWN DUBLIN 15",Dublin 15,Dublin,"€286,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"6 CHURCHWOOD, COOSAN, ATHLONE",,Westmeath,"€225,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"6 Dun Rioga Crescent, Drumree Road, Dunshaughlin",,Meath,"€286,343.61",New Dwelling house /Apartment
01/12/2020,"6 Gairdin Beag, Main Street, Rathwire",,Westmeath,"€185,022.00",New Dwelling house /Apartment
01/12/2020,"6 NA HINSEAIN, MANORCUNNINGHAM, CO DONEGAL",,Donegal,"€56,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"6 THE COURTYARD, ROSCARBERY, CORK",,Cork,"€275,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"6 The Crescent, Cluain Dara, Derrinturn",,Kildare,"€233,480.18",New Dwelling house /Apartment
01/12/2020,"6 WESTBOURNE PARK, MAGAZINE RD, CORK",,Cork,"€245,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"6 WILLOW DR, DERRYMULLAN, BALLINASLOE",,Galway,"€190,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"60 DINGLE RD, CABRA, DUBLIN",Dublin 7,Dublin,"€368,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"63 Oldbridge Park, Osberstown, Naas",,Kildare,"€317,136.00",New Dwelling house /Apartment
01/12/2020,"63 WILLOW DRIVE, THE WILLOWS, DUNSHAUGHLIN",,Meath,"€328,000.00",New Dwelling house /Apartment
01/12/2020,"66 TRALEE MARINA, TRALEE, KERRY",,Kerry,"€122,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"7 ARD NA CARRAIG, LIS NA DARA, DUNDALK",,Louth,"€215,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"7 COLLEGE GROVE, CLANE, KILDARE",,Kildare,"€475,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"7 FERNLEIGH GROVE, RIVERWOOD, CASTLEKNOCK DUBLIN 15",Dublin 15,Dublin,"€340,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"7 HAWTHORN WOOD, KENMARE OLD, KENMARE",,Kerry,"€325,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"7 KINVARA GROVE, NAVAN ROAD, DUBLIN 7",Dublin 7,Dublin,"€515,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"7 WOODFORD VIEW, BALLYCONNELL, CAVAN",,Cavan,"€80,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"71 KILLANE VIEW, EDENDERRY, OFFALY",,Offaly,"€200,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"77 MEADOWBANK BAILE NA DEISE, CORK RD, WATERFORD",,Waterford,"€165,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"77 ORCHARD HEIGHTS, CHARLEVILLE, CORK",,Cork,"€225,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"79 DERRYNANE, OLD CORK RD, LIMERICK",,Limerick,"€213,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"8 CANNONS LANE, SKY RD, CLIFDEN",,Galway,"€238,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"8 CHURCH AVE, EDEN GATE, DELGANY",,Wicklow,"€535,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"8 Newtown Manor, Monaleen",,Limerick,"€290,748.89",New Dwelling house /Apartment
01/12/2020,"8 Newtown Park, Tramore, Waterford",,Waterford,"€440,000.00",New Dwelling house /Apartment
01/12/2020,"8 OLDWOOD, ARDSALLAGHBEG, ROSCOMMON",,Roscommon,"€350,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"8 OTTERS LODGE, BARRETT ST, BALLINA",,Mayo,"€70,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"8 SHANDON COURT, YELLOW RD UPPER, WATERFORD",,Waterford,"€136,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"8 The Way, Ledwill Park, Kilcock",,Kildare,"€290,748.00",New Dwelling house /Apartment
01/12/2020,"86 CHARLESLAND PARK, THE GLEN, GREYSTONES",,Wicklow,"€325,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"89 Longview Avenue, Millers Glen, Swords",,Dublin,"€312,775.00",New Dwelling house /Apartment
01/12/2020,"9 ABBEYLANDS, FERRYBANK, WATERFORD",,Waterford,"€84,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"9 CHURCH STREET, FINGLAS, DUBLIN 11",Dublin 11,Dublin,"€395,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"9 MRUIGTUAITHE, RATOATH, MEATH",,Meath,"€380,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"9 WATERLOO WAY, WEXFORD, WEXFORD",,Wexford,"€100,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"99 FEARANN RI, DOUGHISKA, GALWAY",,Galway,"€202,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"AN CULU, DROMORE, GREENANE",,Kerry,"€3,850,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"Apartment No. 5, Clonbern, Phoenix Park Racecourse",Dublin 15,Dublin,"€370,000.00",New Dwelling house /Apartment
01/12/2020,"APT 1 GROUND FLOOR, BLOCK J CLONMULLEN LANE, EDENDERRY",,Offaly,"€70,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"APT 4, SILVER FALLS, KNOCKMULDOWNEY",,Sligo,"€525,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"APT 65, EGLINGTON BLOCK, DONNYBROOK CASTLE DUBLIN 4",Dublin 4,Dublin,"€410,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"Apt B1  The Wellintonia, Knockrabo, Mount Anville Road",Dublin 14,Dublin,"€245,292.65",New Dwelling house /Apartment
01/12/2020,"Apt B11  The Wellintonia, Knockrabo, Mount Anville Road",Dublin 14,Dublin,"€139,926.32",New Dwelling house /Apartment
01/12/2020,"Apt B16  The Wellintonia, Knockrabo, Mount Anville Road",Dublin 14,Dublin,"€139,926.32",New Dwelling house /Apartment
01/12/2020,"Apt B2  The Wellintonia, Knockrabo, Mount Anville Road",Dublin 14,Dublin,"€138,077.78",New Dwelling house /Apartment
01/12/2020,"Apt B3  The Wellintonia, Knockrabo, Mount Anville Road",Dublin 14,Dublin,"€248,434.63",New Dwelling house /Apartment
01/12/2020,"Apt B6  The Wellintonia, Knockrabo, Mount Anville Road",Dublin 14,Dublin,"€139,926.32",New Dwelling house /Apartment
01/12/2020,"ARDARAVAN, BUNCRANA, CO DONEGAL",,Donegal,"€170,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"BALLINACLOSE, KILMAINHAMWOOD, KELLS",,Meath,"€120,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"BALLYCASHEN, KILNBOY, ENNIS",,Clare,"€111,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"BALLYMACASHEL, TERVOE, CLARINA",,Limerick,"€230,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"BEHEENAGH, CAMP, TRALEE",,Kerry,"€115,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"CAVANROBERT, TALLANSTOWN, DUNDALK",,Louth,"€130,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"CLONTEENS, CASTLEPOLLARD, CO WESTMEATH",,Westmeath,"€232,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"COMPASS COTTAGE, BLIND GATE, KINSALE",,Cork,"€100,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"CONDONSTOWN, BALLINURE, THURLES",,Tipperary,"€155,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"COOLOGMARTIN HOUSE, COOLOGMARTIN, DONADEA",,Kildare,"€520,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"COOLROE OLD PARISH, DUNGARVAN, CO WATERFORD",,Waterford,"€430,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"CORCORANSTOWN, DONADEA, NAAS",,Kildare,"€650,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"CORNER HOUSE, THE SQUARE, ABBEYFEALE",,Limerick,"€60,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"COTTAGE 3, CRUIT ISLAND LOWER, KINCASSLAGH",,Donegal,"€215,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"DROMORE, MOUNTCHARLES, DONEGAL",,Donegal,"€320,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"DRUM EAST, RAHOON, GALWAY",,Galway,"€475,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"HOPKINSREA, BURNCOURT, TIPPERARY",,Tipperary,"€20,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"J2 CLOMMELLON HALL, EDENDERRY, CO OFFALY",,Offaly,"€70,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"KEALE, BALLYORGAN, KILFINANE",,Limerick,"€165,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"KNOCKSQUIRE, BORRIS, CARLOW",,Carlow,"€215,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"LEVITSTOWN, ATHY, KILDARE",,Kildare,"€165,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"LIA FAIL, CALRY RD, SLIGO",,Sligo,"€535,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"LICKADOON, BALLYNEETY, CO LIMERICK",,Limerick,"€150,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"LISSACAPPLE, BILLIS, VIRGINIA",,Cavan,"€225,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"LITTLEGRAIGUE, DUNCORMICK, WEXFORD",,Wexford,"€210,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"LOWER COOLAVOKIG, KILNAMARTYRA, MACROOM",,Cork,"€50,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"LUCCA HOUSE, 2 AILESBURY WAY, AILESBURY RD DUBLIN 4",Dublin 4,Dublin,"€1,410,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"MAIN ST, KILNALECK, CO CAVAN",,Cavan,"€89,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"MIDDLELININE SOUTH, SCARIFF, CLARE",,Clare,"€305,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"MILLICENT HILL, KILCRONEY LANE, BRAY",,Wicklow,"€1,080,000.00",Second-Hand Dwelling house /Apartment
